#timebase=40000000(ps)
,#voltbase=5000(mv/100)
#size=4064
1.77E-04,0.003
1.78E-04,0.003
1.78E-04,0.003
1.78E-04,0.003
1.78E-04,0.003
1.78E-04,0.006
1.79E-04,0.005
1.79E-04,0.004
1.79E-04,0.004
1.79E-04,0.004
1.79E-04,0.004
1.80E-04,0.004
1.80E-04,0.005
1.80E-04,0.004
1.80E-04,0.004
1.80E-04,0.004
1.81E-04,0.005
1.81E-04,0.005
1.81E-04,0.006
1.81E-04,0.005
1.81E-04,0.005
1.82E-04,0.005
1.82E-04,0.004
1.82E-04,0.005
1.82E-04,0.005
1.82E-04,0.005
1.83E-04,0.006
1.83E-04,0.005
1.83E-04,0.005
1.83E-04,0.005
1.83E-04,0.005
1.84E-04,0.005
1.84E-04,0.005
1.84E-04,0.005
1.84E-04,0.005
1.84E-04,0.005
1.85E-04,0.005
1.85E-04,0.005
1.85E-04,0.005
1.85E-04,0.005
1.85E-04,0.005
1.86E-04,0.005
1.86E-04,0.003
1.86E-04,0.003
1.86E-04,0.003
1.86E-04,0.004
1.87E-04,0.005
1.87E-04,0.005
1.87E-04,0.006
1.87E-04,0.006
1.87E-04,0.005
1.88E-04,0.006
1.88E-04,0.006
1.88E-04,0.005
1.88E-04,0.006
1.88E-04,0.006
1.89E-04,0.006
1.89E-04,0.006
1.89E-04,0.006
1.89E-04,0.005
1.89E-04,0.006
1.90E-04,0.006
1.90E-04,0.004
1.90E-04,0.004
1.90E-04,0.005
1.90E-04,0.004
1.91E-04,0.003
1.91E-04,0.004
1.91E-04,0.005
1.91E-04,0.005
1.91E-04,0.005
1.92E-04,0.005
1.92E-04,0.005
1.92E-04,0.006
1.92E-04,0.006
1.92E-04,0.005
1.93E-04,0.004
1.93E-04,0.004
1.93E-04,0.005
1.93E-04,0.006
1.93E-04,0.007
1.94E-04,0.007
1.94E-04,0.006
1.94E-04,0.006
1.94E-04,0.005
1.94E-04,0.005
1.95E-04,0.004
1.95E-04,0.005
1.95E-04,0.005
1.95E-04,0.005
1.95E-04,0.005
1.96E-04,0.005
1.96E-04,0.005
1.96E-04,0.006
1.96E-04,0.005
1.96E-04,0.006
1.97E-04,0.005
1.97E-04,0.006
1.97E-04,0.005
1.97E-04,0.006
1.97E-04,0.006
1.98E-04,0.006
1.98E-04,0.006
1.98E-04,0.006
1.98E-04,0.005
1.98E-04,0.006
1.99E-04,0.005
1.99E-04,0.005
1.99E-04,0.006
1.99E-04,0.006
1.99E-04,0.006
2.00E-04,0.005
2.00E-04,0.005
2.00E-04,0.006
2.00E-04,0.007
2.00E-04,0.007
2.01E-04,0.006
2.01E-04,0.006
2.01E-04,0.006
2.01E-04,0.004
2.01E-04,0.006
2.02E-04,0.007
2.02E-04,0.007
2.02E-04,0.007
2.02E-04,0.006
2.02E-04,0.006
2.03E-04,0.006
2.03E-04,0.005
2.03E-04,0.005
2.03E-04,0.006
2.03E-04,0.005
2.04E-04,0.005
2.04E-04,0.005
2.04E-04,0.004
2.04E-04,0.005
2.04E-04,0.005
2.05E-04,0.005
2.05E-04,0.005
2.05E-04,0.004
2.05E-04,0.004
2.05E-04,0.003
2.06E-04,0.004
2.06E-04,0.004
2.06E-04,0.004
2.06E-04,0.004
2.06E-04,0.003
2.07E-04,0.003
2.07E-04,0.004
2.07E-04,0.004
2.07E-04,0.004
2.07E-04,0.004
2.08E-04,0.004
2.08E-04,0.004
2.08E-04,0.002
2.08E-04,0.002
2.08E-04,0.002
2.09E-04,0.002
2.09E-04,0.002
2.09E-04,0.002
2.09E-04,0.002
2.09E-04,0.002
2.10E-04,0.002
2.10E-04,0.002
2.10E-04,0.001
2.10E-04,0.001
2.10E-04,0.001
2.11E-04,0.001
2.11E-04,0.001
2.11E-04,0.001
2.11E-04,0.001
2.11E-04,0.001
2.12E-04,0.001
2.12E-04,0.001
2.12E-04,0.001
2.12E-04,0.001
2.12E-04,0.000
2.13E-04,0.001
2.13E-04,0.000
2.13E-04,-0.000
2.13E-04,0.000
2.13E-04,0.000
2.14E-04,0.000
2.14E-04,0.001
2.14E-04,0.002
2.14E-04,0.002
2.14E-04,0.000
2.15E-04,0.001
2.15E-04,-0.000
2.15E-04,0.001
2.15E-04,0.001
2.15E-04,0.003
2.16E-04,0.001
2.16E-04,0.002
2.16E-04,0.002
2.16E-04,0.000
2.16E-04,0.001
2.17E-04,0.001
2.17E-04,0.001
2.17E-04,0.000
2.17E-04,0.000
2.17E-04,-0.000
2.18E-04,0.001
2.18E-04,0.001
2.18E-04,0.001
2.18E-04,0.001
2.18E-04,0.001
2.19E-04,0.001
2.19E-04,0.002
2.19E-04,0.002
2.19E-04,0.002
2.19E-04,0.002
2.20E-04,0.001
2.20E-04,0.002
2.20E-04,0.003
2.20E-04,0.002
2.20E-04,0.002
2.21E-04,0.003
2.21E-04,0.002
2.21E-04,0.003
2.21E-04,0.003
2.21E-04,0.001
2.22E-04,0.002
2.22E-04,0.001
2.22E-04,0.001
2.22E-04,0.002
2.22E-04,0.002
2.23E-04,0.002
2.23E-04,0.002
2.23E-04,0.002
2.23E-04,0.002
2.23E-04,0.002
2.24E-04,0.002
2.24E-04,0.002
2.24E-04,0.003
2.24E-04,0.003
2.24E-04,0.002
2.25E-04,0.003
2.25E-04,0.003
2.25E-04,0.003
2.25E-04,0.003
2.25E-04,0.003
2.26E-04,0.003
2.26E-04,0.003
2.26E-04,0.003
2.26E-04,0.003
2.26E-04,0.003
2.27E-04,0.003
2.27E-04,0.004
2.27E-04,0.004
2.27E-04,0.003
2.27E-04,0.003
2.28E-04,0.004
2.28E-04,0.003
2.28E-04,0.003
2.28E-04,0.003
2.28E-04,0.003
2.29E-04,0.002
2.29E-04,0.003
2.29E-04,0.003
2.29E-04,0.003
2.29E-04,0.003
2.30E-04,0.002
2.30E-04,0.002
2.30E-04,0.001
2.30E-04,0.000
2.30E-04,0.002
2.31E-04,0.003
2.31E-04,0.002
2.31E-04,0.003
2.31E-04,0.004
2.31E-04,0.003
2.32E-04,0.003
2.32E-04,0.002
2.32E-04,0.002
2.32E-04,0.002
2.32E-04,0.002
2.33E-04,0.002
2.33E-04,0.001
2.33E-04,0.003
2.33E-04,0.002
2.33E-04,0.003
2.34E-04,0.003
2.34E-04,0.003
2.34E-04,0.003
2.34E-04,0.003
2.34E-04,0.002
2.35E-04,0.003
2.35E-04,0.004
2.35E-04,0.003
2.35E-04,0.004
2.35E-04,0.004
2.36E-04,0.003
2.36E-04,0.003
2.36E-04,0.003
2.36E-04,0.004
2.36E-04,0.004
2.37E-04,0.004
2.37E-04,0.003
2.37E-04,0.004
2.37E-04,0.005
2.37E-04,0.007
2.38E-04,0.006
2.38E-04,0.005
2.38E-04,0.005
2.38E-04,0.005
2.38E-04,0.004
2.39E-04,0.005
2.39E-04,0.005
2.39E-04,0.006
2.39E-04,0.005
2.39E-04,0.005
2.40E-04,0.005
2.40E-04,0.005
2.40E-04,0.005
2.40E-04,0.005
2.40E-04,0.006
2.41E-04,0.004
2.41E-04,0.005
2.41E-04,0.006
2.41E-04,0.006
2.41E-04,0.006
2.42E-04,0.006
2.42E-04,0.005
2.42E-04,0.005
2.42E-04,0.005
2.42E-04,0.005
2.43E-04,0.005
2.43E-04,0.006
2.43E-04,0.006
2.43E-04,0.006
2.43E-04,0.006
2.44E-04,0.004
2.44E-04,0.005
2.44E-04,0.004
2.44E-04,0.005
2.44E-04,0.006
